tab,subcategory,question,answer
Beneficiary,General,How many kinds of beneficiaries can be registered in the Application?,"An AWW can register 6 kinds of beneficiaries-
- Pregnant Women
- Lactating Mothers
- Children between 0-6 months
- Children between 6 months to 3 years
- Children between 3-6 years
- Adolescent Girls between 14-18 years (for Aspirational Districts)"
Beneficiary,General,How to update the profile of a beneficiary?,Click on 'beneficiary list' then go to profile card and make the required changes accordingly available in profile card.
Beneficiary,General,How many Beneficiaries can be added on one Aadhaar card?,An AWW can add one Aadhaar card details only for 4 beneficiaries (Mother + 3 children). A father/guardian's Aadhaar card details can be used for 3 children.
Beneficiary,General,Why does an AWW get the message “Aadhaar card already exists”?,"If Aadhaar details of the beneficiary already exist in some other AWC , then the message “Aadhaar already exists” shows up."
Beneficiary,General,How to update Child's Aadhaar instead of Parent/Guardian's Aadhaar?,A child beneficiary’s Aadhaar can be updated and verified through the “Add Child’s Aadhaar” option in the beneficiary’s profile card.
Beneficiary,General,"What does Unverified, Verified and Partially Verified status in a Beneficiary Profile mean?","- Unverified: Beneficiary has not verified their mobile number & Aadhaar details.
- Partially Verified: Beneficiary has only verified their mobile number.
- Verified: Beneficiary has verified Aadhaar details."
Beneficiary,General,How to create an ABHA ID?,"In the 'Three Dots' option of a beneficiary, click on Create or Retrieve ABHA. If a new ABHA ID is to be created, click on Create ABHA. You can choose to create ABHA by verifying Aadhaar details or by Aadhaar OTP. If ABHA ID already exists, you can retrieve it by entering ABHA ID/Address and verify or by ABHA OTP."
Beneficiary,General,How is Anaemic Health Status calculated?,"The rule for calculating Anaemia is Haemoglobin Level should be below:
- 10.5g/dL : Pregnant Women
- 12g/dL : Lactating Mothers
- 12g/dL : Adolescent Girls"
Beneficiary,General,What is RCH Profile?,"RCH refers to Reproductive Child Health where by women are monitored throughout their reproductive cycle. It also provides assistance for health workers to enable ease of service delivery including Antenatal Check-up, Postnatal Check-up and Immunization services. The data is fetched from the RCH System and is reflected in the respective categories of the Poshan Tracker Application."
Beneficiary,General,For whom is the RCH Profile visible in Poshan Tracker Application?,"In Poshan Tracker, RCH Profile is visible for Pregnant Women and Lactating Mothers. To view a profile, the beneficiary must have their Mobile Verified, Aadhaar Verified, ABHA ID and ABHA Address created."
Beneficiary,General,What is an Action Centre?,"Action Centre is a section where you get all the features at one place that are frequently used. It includes-
- Register Beneficiary
- Verify Aadhaar
- Upcoming Beneficiary Changes
- Stock Register
- Referral Register
- Identify Father/Guardian Aadhaar
- Beneficiary Vaccination
- Migrated out Beneficiaries
- Family Survey"
Beneficiary,General,What is ‘Verify Mobile Number’ in the application?,All beneficiaries whose mobile numbers are unverified can be viewed under the ‘Verify Mobile Number’.The AWW has the option to verify the mobile number from the Action Center.
Beneficiary,General,What is the Migrate Beneficiary feature?,"When a beneficiary shifts from one AWC to another (within or outside the state, district, project, or sector), the Migrate Beneficiary feature is used. The AWW of the destination AWC must migrate the beneficiary from the source AWC.
To migrate a beneficiary, the destination AWW needs to enter the beneficiary’s verified registered mobile number and Aadhaar number. This mobile number is not necessarily the one linked with Aadhaar. The AWW can access the option to migrate a beneficiary from the More section."
Beneficiary,General,What is Migrate Out?,"If a beneficiary is not reporting to the AWC and is not availing the services that he/she is entitled to, the AWW can choose to 'Migrate out' the beneficiary by selecting Migrate Out through the 'Three Dots' Option beside a beneficiary’s profile.The Migrated Out Profiles can be seen in the Migrated Out Beneficiaries list in the Action Centre."
